county,city,school
ALGERIA,N/A,INSTITUTION IN AFRICA
ANGOLA,N/A,LUANDA INTERNATIONAL SCHOOL
APO/FPO/CPO USA,N/A,BAHRAIN SCHOOL DOD
APO/FPO/CPO USA,N/A,NAPLES AMERICAN HS DOD
ARGENTINA,N/A,ASOCIACION ESCUELAS LINCOLN
ARMENIA,N/A,ARMENIA
ARMENIA,N/A,QUANTUM COLLEGE
ARMENIA,N/A,UWC DILIJAN COLLEGE
AUSTRALIA,N/A,GEELONG GRAMMAR SCHOOL
AUSTRALIA,N/A,INSTITUTION-AUSTRALIA/NEW ZEALAND
AUSTRALIA,N/A,REDLANDS
AUSTRALIA,N/A,SCOTCH COLLEGE
AUSTRIA,N/A,AMERICAN INTL SCHOOL VIENNA
AUSTRIA,N/A,VIENNA INTERNATIONAL SCHOOL
AZERBAIJAN,N/A,AZERBAIJAN
Alabama,Auburn,AUBURN HIGH SCHOOL
Alabama,Birmingham,SPAIN PARK HIGH SCHOOL
Alabama,Hoover,HOOVER HIGH SCHOOL
Alabama,Huntsville,VIRGIL I GRISSOM HIGH SCHOOL
Alabama,Indian Springs,INDIAN SPRINGS SCHOOL
Alabama,Madison,BOB JONES HIGH SCHOOL
Alabama,Vestavia Hills,VESTAVIA HILLS HIGH SCHOOL
Alabama,,ALABAMA
Alameda,Alameda,ALAMEDA COMMUNITY LEARNING CTR
Alameda,Alameda,ALAMEDA HIGH SCHOOL
Alameda,Alameda,ALAMEDA SCIENCE & TECHLGY INST
Alameda,Alameda,ALTERNATIVES IN ACTION HS
Alameda,Alameda,CALIFORNIA CROSSPOINT HIGH SCH
Alameda,Alameda,ENCINAL HIGH SCHOOL
Alameda,Alameda,NEA COMMUNITY LEARNING CENTER
Alameda,Alameda,SAINT JOSEPH-NOTRE DAME HS
Alameda,Alameda,ST JOSEPH HIGH
Alameda,Albany,ALBANY HIGH SCHOOL
Alameda,Albany,TILDEN PREPARATORY SCHOOL
Alameda,Berkeley,ARROWSMITH ACADEMY
Alameda,Berkeley,BERKELEY HIGH SCHOOL
Alameda,Berkeley,MAYBECK HIGH SCHOOL
Alameda,Berkeley,REALM CHARTER HIGH SCHOOL
Alameda,Berkeley,RICHMOND CA COLLEGE PREPRATORY
Alameda,Berkeley,SAINT MARYS COLLEGE HS
Alameda,Castro Valley,CASTRO VALLEY HIGH SCHOOL
Alameda,Castro Valley,REDWOOD CHRISTIAN JR-SR HS
Alameda,Dublin,DUBLIN HIGH SCHOOL
Alameda,Dublin,QUARRY LANE SCHOOL
Alameda,Dublin,VALLEY CHRISTIAN HIGH SCHOOL
Alameda,Emeryville,EMERY SECONDARY SCHOOL
Alameda,Fremont,ALSION MONTESSORI MIDDLE/HIGH
Alameda,Fremont,AMERICAN HIGH SCHOOL
Alameda,Fremont,AVERROES HIGH SCHOOL
Alameda,Fremont,CIRCLE IND LEARNING CHRTR SCH
Alameda,Fremont,FREMONT CHRISTIAN HIGH SCHOOL
Alameda,Fremont,IRVINGTON HIGH SCHOOL
Alameda,Fremont,JOHN F KENNEDY HIGH SCHOOL
Alameda,Fremont,MISSION SAN JOSE HIGH SCHOOL
Alameda,Fremont,WASHINGTON HIGH SCHOOL
Alameda,Hayward,EAST BAY ARTS
Alameda,Hayward,HAYWARD HIGH SCHOOL
Alameda,Hayward,IMPACT ACAD ARTS/TECHNOLOGY
Alameda,Hayward,LEADERSHIP PUBLIC SCH HAYWARD
Alameda,Hayward,MOREAU CATHOLIC HIGH SCHOOL
Alameda,Hayward,MOUNT EDEN HIGH SCHOOL
Alameda,Hayward,SILVER OAK HIGH SCHOOL
Alameda,Hayward,TENNYSON HIGH SCHOOL
Alameda,Livermore,GRANADA HIGH SCHOOL
Alameda,Livermore,LIVERMORE HIGH SCHOOL
Alameda,Livermore,LIVERMORE VALLEY CHARTER PREP
Alameda,Newark,FAME PUBLIC CHARTER SCHOOL
Alameda,Newark,NEWARK MEMORIAL HIGH SCHOOL
Alameda,Oakland,AMERICAN INDIAN PUBLIC SCHOOL
Alameda,Oakland,ARISE HIGH SCHOOL
Alameda,Oakland,ASA ACADEMY CMNTY SCIENCE CNTR
Alameda,Oakland,ASPIRE GOLDEN STATE PREP ACADEMY
Alameda,Oakland,ASPIRE LIONEL WILSON COLG PREP
Alameda,Oakland,BAY AREA TECHNOLOGY-BAYTECH
Alameda,Oakland,BEACON HIGH SCHOOL
Alameda,Oakland,BISHOP ODOWD HIGH SCHOOL
Alameda,Oakland,BUSINESS ENTREPRENEURIAL
Alameda,Oakland,CASTLEMONT BUS INFORM TECH SCH
Alameda,Oakland,CASTLEMONT HIGH SCHOOL
Alameda,Oakland,COLISEUM COLLEGE PREP ACADEMY
Alameda,Oakland,COLLEGE PREP AND ARCH ACADEMY
Alameda,Oakland,COLLEGE PREPARATORY SCHOOL
