county,city,school
New York,Troy,HUDSON VALLEY CMTY COLLEGE
Ohio,Toledo,UNIVERSITY OF TOLEDO
Montana,Missoula,UNIV MONTANA
Pennsylvania,Lewisburg,BUCKNELL UNIVERSITY
Alameda,Fremont,OHLONE COLLEGE
Illinois,Grayslake,COLL LAKE COUNTY
Indiana,Vincennes,VINCENNES UNIVERSITY
Oregon,Salem,WILLAMETTE UNIVERSITY
Monterey,Seaside,CSU MONTEREY BAY
Colorado,Denver,METROPOLITAN STATE UNIV DENVER
Georgia,Atlanta,MOREHOUSE COLLEGE
Connecticut,"",CONNECTICUT
Nevada,Las Vegas,UNIV NEVADA LAS VEGAS
Texas,The Woodlan,LONE STAR COLLEGE
Kern,Taft,TAFT COLLEGE
Pennsylvania,Philadephia,DREXEL UNIVERSITY
Virginia,Blacksburg,VIRGINIA TECH
Oregon,Eugene,UNIV OREGON
Utah,Provo,BRIGHAM YOUNG UNIVERSITY
Massachusetts,Chestnut Hl,BOSTON COLLEGE
Arizona,Tucson,UNIVERSITY OF ARIZONA
Michigan,Ann Arbor,WASHTENAW COMMUNITY COLLEGE
Massachusetts,Boston,BOSTON UNIVERSITY
Butte,Oroville,BUTTE COLLEGE
Florida,Gainesville,UNIV FLORIDA
Pennsylvania,Wayne,VALLEY FORGE MIL ACAD & COLL
New Jersey,Toms River,OCEAN COUNTY COLLEGE
New York,Flushing,CUNY QUEENSBOROUGH CC
San Luis Obispo,Snluis Obsp,CUESTA COLLEGE
Santa Barbara,Santa Barbara,UC SANTA BARBARA
PHILIPPINES,N/A,GRACE CHRISTIAN COLLEGE
Sacramento,Folsom,FOLSOM LAKE COLLEGE
Colorado,Greeley,UNIVERSITY NORTHERN COLORADO
New York,New York,PACE UNIV NEW YORK CITY
Los Angeles,Walnut,MOUNT SAN ANTONIO COLLEGE
Los Angeles,Los Angeles,LOYOLA MARYMOUNT UNIVERSITY
Santa Clara,Santa Clara,MISSION COLLEGE
Merced,Merced,MERCED COLLEGE
ISRAEL,N/A,HEBREW UNIV DEGREE PROGRAMS
Pennsylvania,Bryn Mawr,BRYN MAWR COLLEGE
Los Angeles,Azusa,AZUSA PACIFIC UNIVERSITY
Santa Clara,San Jose,EVERGREEN VALLEY COLLEGE
Connecticut,Hartford,TRINITY COLLEGE CONNECTICUT
Los Angeles,Los Angeles,LOS ANGELES TRADE-TECH COLLEGE
San Bernardino,San Bernardino,SAN BERNARDINO VALLEY COLLEGE
Pennsylvania,Phildelphia,UNIV PENNSYLVANIA UNDRGRD ADM
Alameda,Hayward,CSU EAST BAY
Los Angeles,Glendora,CITRUS COLLEGE
Arizona,Glendale,GLENDALE COMMUNITY COLLEGE
Texas,Killeen,CENTRAL TEXAS COLLEGE
District of Columbia,Washington,AMERICAN UNIVERSITY DC THE
Orange,Orange,CHAPMAN UNIVERSITY
Kern,Ridgecrest,CERRO COSO COMMUNITY COLLEGE
Los Angeles,Los Angeles,UC LOS ANGELES (UCLA)
Kern,Bakersfield,CSU BAKERSFIELD
Los Angeles,Sylmar,LOS ANGELES MISSION COLLEGE
Rhode Island,Providence,BROWN UNIVERSITY
Orange,Orange,SANTIAGO CANYON COLLEGE
EGYPT,N/A,"INST IN CENTRAL ASIA, MID,NEAR EAST"
Texas,Dallas,SOUTHRN METHODIST UNIVERSITY
Napa,Napa,NAPA VALLEY COLLEGE
Los Angeles,Los Angeles,LOS ANGELES CITY COLLEGE
Los Angeles,Pomona,CAL POLY POMONA
Orange,Irvine,CONCORDIA UNIVERSITY CA
Minnesota,Northfield,CARLETON COLLEGE
San Diego,La Jolla,UC SAN DIEGO
Massachusetts,Wellesley,WELLESLEY COLLEGE
District of Columbia,Washington,GEORGE WASHINGTON UNIVERSITY
Texas,"",TEXAS
New York,Binghamton,SUNY BINGHAMTON
Stanislaus,Modesto,MODESTO JUNIOR COLLEGE
Virginia,Alexandria,NORTHRN VIRG CC ALEX
Los Angeles,Los Angeles,UNIV SOUTHERN CALIFORNIA
Texas,Lubbock,TEXAS TECH UNIVERSITY
Massachusetts,Boston,NORTHEASTERN UNIVERSITY
San Francisco,San Francisco,UNIV SAN FRANCISCO
San Diego,El Cajon,GROSSMONT CMTY COLLEGE
Orange,Cypress,CYPRESS COLLEGE
San Bernardino,San Bernardino,CSU SAN BERNARDINO
Orange,Fullerton,FULLERTON COLLEGE
Arizona,Prescott,YAVAPAI COLLEGE
Texas,Denton,UNIV NORTH TEXAS
Connecticut,Storrs,UNIV OF CONNECTICUT
Los Angeles,Rancho Palos Ver,MARYMOUNT COLLEGE CA
Illinois,Glen Ellyn,COLLEGE OF DUPAGE
