campus,term,school,ethnicity,applied,admission,enrolled
Los Angeles,2017,SAN JOAQUIN DELTA COLLEGE,Asian,32,,
Los Angeles,2010,WEST VALLEY COLLEGE,All,180,52,30
Universitywide,2011,CHAFFEY COLLEGE,All,493,348,270
Berkeley,2010,DE ANZA COLLEGE,African American,30,10,10
San Diego,2012,UC SANTA CRUZ,All,178,118,42
Davis,2007,GREEN RIVER COLLEGE,All,12,12,
Irvine,2015,AMERICAN RIVER COLLEGE,African American,18,6,
Berkeley,2015,SAN DIEGO MESA COLLEGE,All,382,75,39
Santa Barbara,2015,MISSION COLLEGE,All,46,14,
Los Angeles,2016,UC SANTA CRUZ,African American,12,,
Santa Cruz,2008,SANTIAGO CANYON COLLEGE,All,40,34,6
Los Angeles,2007,PORTERVILLE COLLEGE,Hispanic/ Latino,10,,
Santa Cruz,2012,FOOTHILL COLLEGE,Hispanic/ Latino,48,26,
Los Angeles,2007,SAN DIEGO CITY COLLEGE,Asian,10,,
Universitywide,2017,CONTRA COSTA COLLEGE,White,18,14,12
San Diego,2009,CERRITOS COLLEGE,Inter- national,32,24,10
Merced,2016,SHASTA COLLEGE,All,6,3,
Santa Barbara,2012,GOLDEN WEST COLLEGE,Hispanic/ Latino,32,16,8
Santa Barbara,2009,SAN DIEGO STATE UNIVERSITY,All,52,24,8
Universitywide,2015,LANEY COLLEGE,Hispanic/ Latino,59,39,27
Santa Cruz,2014,IRVINE VALLEY COLLEGE,Inter- national,16,12,
Universitywide,2013,LOS ANGELES MISSION COLLEGE,All,148,96,68
Santa Barbara,2017,MOUNT SAN ANTONIO COLLEGE,All,768,420,84
Los Angeles,2014,FRESNO CITY COLLEGE,White,36,6,
Los Angeles,2012,SIERRA COLLEGE,Inter- national,16,,
Riverside,2011,COLLEGE OF THE SEQUOIAS,Asian,10,8,
Universitywide,2007,SAN FRANCISCO STATE UNIVERSITY,Asian,51,29,25
Riverside,2016,RIVERSIDE CITY COLLEGE,White,244,136,86
Berkeley,2010,MOUNT SAN JACINTO COLLEGE,Domestic Unknown,11,,
Berkeley,2012,COLLEGE OF MARIN,White,122,40,38
Berkeley,2012,COLUMBIA COLLEGE,All,30,11,7
Universitywide,2011,UC MERCED,Hispanic/ Latino,33,15,7
Irvine,2015,DIABLO VALLEY COLLEGE,Hispanic/ Latino,55,20,
Universitywide,2015,SANTA ROSA JUNIOR COLLEGE,African American,23,17,11
